,Mails,control
0,"NETFLIX,,Netflix keyfini yeniden,yaşayın.,Geri dönün ve istediğinizi, istediğiniz zaman,,,istediğiniz cihazda izleyin. Reklamsız dizi ve film,izlemenin tadını çıkarın.,,BI YENİDEN KATILIN,",0
1,"hepsiburada,,ANINDA 25 TL İNDİRİM,—,, ,",1
2,"Tefal mutfak ürünlerinde,“050'YE VARAN İNDİRİMLER,, ,",1
3,"hepsiburada,,KADIN ERKEK ÇOCUK BEBEK,,DERİMOD,,  ,",1
4,"papara,,Değerli Kullanıcımız,,Hesap kapama işleminin yapılması için hesap bakiyenizin sıfırlanması,gerekmektedir.Hesap bakiyenizi sıfırladıktan sonra talebinizi yeniden,,iletmenizi rica ederiz.,,Saygılarımızla.,",0
5,"Oynasana,Alışverişiniz için teşekkürler!,,SİM yada Siteye Git,, ,,Sipariş Detayları,,Ea 300 Valorant Points (VP) x 1,200,,Tutar,,Gönderi,,KDV,,Toplam,,SİPARİŞ,,13.80TL,,13.80TL,0.00TL,,2.1171,,13.80TL,",1
6,"papara,,Merhaba,,Ziraat Bankası transferi ile yatırdığın 58,00 TL hesabında. Bu,ay kalan hesaba gelen tutar limitin: 99.043,00 TL.,,Gelen tutar limiti, banka hesabından yatırdığın ve diğer Papara,kullanıcılarından gelen tutarlar için geçerlidir.,,İşlemin detaylarını hesabına girip görüntüleyebilirsin.,,İyi günler dileriz,,,para Hesabıma Git,",0
7,"hepsiburada,,KADIN ERKEK ÇOCUK BEBEK,,   ,   ,,   , , , ,,KEMAL TANCA,,“050 NET,İNDİRİM,",1
8," ,,hepsiburada,,süper avantajlarıyla KIZ,başlıyor,,Ko A,—X,,   ,",1
9,"Google a0) Analytics,,Google Analytics ayarlarını,inceleyin ve size uygunolup,olmadığını doğrulayın,,Google Analytics hesabınızı Ekim 2018 ile Mart 2020 arasında,oluşturduysanız bizden önemli güncellemeleri almıyor olabilirsiniz.,,Bu e-posta güncellemelerini etkinleştirmenizi öneririz, böylece,kullanıma sunulan yeni özellikler, performans önerileri ve Google,Analytics teklifleri hakkında bilgi sahibi olabilirsiniz.,,AYARLARINIZI ONAYLAYIN,",0
10,"papara,,Merhaba Kürşat Fevzican Şayhan,,,sana 25,00 TL gönderdi.,İşlemin detaylarını hesabına girip görüntüleyebilirsin.,,İyi günler dileriz,,,Papara Hesabıma Git,",0
11,"SAMSUNG Account,,Şifreniz sıfırlandı.,Değeri Müşterimiz,,,Hesabınızın şifresi başarıyla değiştirildi,Değişikliği yapan siz değilseniz, tfen hesabınızı korumak için şifrenizi,",0
12,"hepsiburada,,  ,,Evini pırıl pırıl yapacak,temizlik ürünlerinde,,     ,",1
13,"©,©,,İSTEK LİSTENİZE EKLEDİĞİNİZ 1,OYUN İNDİRİMDE!,,RUST,,HAFTA SONU FIRSATI! Teklifin geçerlilik süresi: 11 G0) 64087 40,87TL,Oca 8:00pm 403,",0
